         65600 function calls (64307 primitive calls) in 3.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 __init__.py:2022(getLogger)
        1    0.000    0.000    0.000    0.000 argparse.py:2138(_match_argument)
        5    0.000    0.000    0.000    0.000 threading.py:521(__init__)
       43    0.000    0.000    0.000    0.000 Image.py:3066(register_open)
        1    0.000    0.000    0.000    0.000 _base.py:157(_create_and_install_waiters)
      202    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 __init__.py:1896(basicConfig)
      437    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:673(_open)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        5    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
       67    0.000    0.000    0.000    0.000 Image.py:3115(register_extension)
      437    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       53    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
       22    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       12    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 _base.py:79(__init__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      127    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
    42/38    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       43    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      116    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      102    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       12    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
        8    0.000    0.000    0.000    0.000 argparse.py:1797(_add_action)
       14    0.000    0.000    0.000    0.000 Image.py:3126(register_extensions)
      522    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.000    0.000 thread.py:117(__init__)
      198    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 SgiImagePlugin.py:25(<module>)
      237    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.000    0.000 _base.py:317(__init__)
        1    0.000    0.000    0.000    0.000 IcoImagePlugin.py:25(<module>)
      104    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 PcxImagePlugin.py:28(<module>)
      217    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        8    0.000    0.000    0.000    0.000 argparse.py:1635(_add_action)
        1    0.000    0.000    0.000    0.000 MspImagePlugin.py:26(<module>)
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        9    0.000    0.000    0.000    0.000 util.py:151(__array_finalize__)
        2    0.000    0.000    0.000    0.000 argparse.py:1436(add_argument_group)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 _base.py:63(__init__)
        1    0.000    0.000    0.000    0.000 MpegImagePlugin.py:17(<module>)
        1    0.000    0.000    0.000    0.000 olefile.py:166(get_logger)
        9    0.000    0.000    0.000    0.000 _base.py:179(_yield_finished_futures)
        1    0.000    0.000    0.000    0.000 WmfImagePlugin.py:22(<module>)
       88    0.000    0.000    0.000    0.000 enum.py:580(__new__)
        2    0.000    0.000    0.000    0.000 argparse.py:1613(__init__)
       24    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        1    0.000    0.000    0.000    0.000 PsdImagePlugin.py:19(<module>)
        1    0.000    0.000    0.000    0.000 Jpeg2KImagePlugin.py:15(<module>)
        1    0.000    0.000    0.000    0.000 TgaImagePlugin.py:20(<module>)
      165    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       86    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       35    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        8    0.000    0.000    0.000    0.000 TiffImagePlugin.py:642(_register_basic)
       21    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
        1    0.000    0.000    0.000    0.000 IptcImagePlugin.py:17(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:2087(debug)
        4    0.000    0.000    0.000    0.000 weakref.py:417(__setitem__)
      256    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        8    0.000    0.000    0.000    0.000 argparse.py:587(_format_args)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        8    0.000    0.000    0.000    0.000 argparse.py:1446(_add_action)
       43    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 FliImagePlugin.py:19(<module>)
      188    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 DdsImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
       10    0.000    0.000    0.000    0.000 util.py:136(_copy_meta)
        1    0.000    0.000    0.000    0.000 BufrStubImagePlugin.py:12(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1405(setLevel)
        1    0.000    0.000    0.000    0.000 Hdf5StubImagePlugin.py:12(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:1684(putpalette)
        1    0.000    0.000    0.000    0.000 _dtype.py:34(__str__)
        1    0.000    0.000    0.000    0.000 MpoImagePlugin.py:21(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 CurImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 FtexImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CoulAdj-Py.py:357(sort_adjacencies)
        1    0.000    0.000    0.000    0.000 MicImagePlugin.py:20(<module>)
        1    0.000    0.000    0.000    0.000 FitsStubImagePlugin.py:12(<module>)
        1    0.000    0.000    0.000    0.000 SpiderImagePlugin.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:146(__init__)
       50    0.000    0.000    0.000    0.000 request.py:436(firstbytes)
      110    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 PixarImagePlugin.py:22(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1360(_clear_cache)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:921(load_end)
       65    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        4    0.000    0.000    0.000    0.000 threading.py:966(_stop)
        2    0.000    0.000    0.000    0.000 __init__.py:853(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:2598(new)
