         65600 function calls (64307 primitive calls) in 3.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 model.py:204(BaseFunctionType)
        1    0.000    0.000    0.000    0.000 error.py:2(FFIError)
        1    0.000    0.000    0.000    0.000 DdsImagePlugin.py:185(_validate)
        1    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 Image.py:76(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 MicImagePlugin.py:28(_accept)
        1    0.000    0.000    0.000    0.000 MspImagePlugin.py:37(_accept)
        1    0.000    0.000    0.000    0.000 PdfParser.py:104(IndirectObjectDef)
        1    0.000    0.000    0.000    0.000 PdfParser.py:300(PdfStream)
        1    0.000    0.000    0.000    0.000 Jpeg2KImagePlugin.py:235(_accept)
        1    0.000    0.000    0.000    0.000 model.py:284(NamedPointerType)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:62(getdata)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 PdfParser.py:239(PdfArray)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 GribStubImagePlugin.py:31(_accept)
        1    0.000    0.000    0.000    0.000 argparse.py:2037(<listcomp>)
        1    0.000    0.000    0.000    0.000 PdfParser.py:69(PdfFormatError)
        1    0.000    0.000    0.000    0.000 BlpImagePlugin.py:230(BLPFormatError)
        2    0.000    0.000    0.000    0.000 format.py:223(format)
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 argparse.py:1288(__init__)
        1    0.000    0.000    0.000    0.000 BlpImagePlugin.py:361(BLP2Decoder)
        1    0.000    0.000    0.000    0.000 model.py:97(BasePrimitiveType)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:876(tell)
        1    0.000    0.000    0.000    0.000 ImageFile.py:79(_tilesort)
        1    0.000    0.000    0.000    0.000 IcnsImagePlugin.py:360(<lambda>)
        1    0.000    0.000    0.000    0.000 PcxImagePlugin.py:39(_accept)
        1    0.000    0.000    0.000    0.000 PixarImagePlugin.py:29(_accept)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
        1    0.000    0.000    0.000    0.000 error.py:17(VerificationError)
        1    0.000    0.000    0.000    0.000 Image.py:2558(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 error.py:22(VerificationMissing)
        1    0.000    0.000    0.000    0.000 error.py:28(PkgConfigError)
        1    0.000    0.000    0.000    0.000 FitsStubImagePlugin.py:31(_accept)
        1    0.000    0.000    0.000    0.000 McIdasImagePlugin.py:24(_accept)
        1    0.000    0.000    0.000    0.000 model.py:481(StructType)
        1    0.000    0.000    0.000    0.000 __init__.py:953(setFormatter)
        1    0.000    0.000    0.000    0.000 model.py:485(UnionType)
        1    0.000    0.000    0.000    0.000 Image.py:80(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 _base.py:624(__enter__)
        1    0.000    0.000    0.000    0.000 argparse.py:2461(<listcomp>)


